Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,common_0_sig,signal,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
BVH,2023-10-31,36970.0,37070.0,36410.0,36410.0,373910,False,38474.5,40322.6,28.09933165456848,-0.38303693570451713,275055.2,1,1,3.845097500686625,3.845097500686625,4.888766822301566,4.28453721505081
BVH,2024-08-05,41230.0,41370.0,39840.0,40170.0,991161,False,42790.5,43475.8,36.134506444920945,-3.8995215311004805,742099.35,1,1,1.6679113766492406,3.335822753298481,6.1986557132188205,6.696539706248444
CTG,2022-03-14,19830.0,19890.0,19520.0,19580.0,4982400,False,20466.5,21104.6,34.86349362857821,-0.3054989816700604,8927610.0,1,1,2.502553626149132,2.96220633299285,-0.30643513789581206,-2.8089887640449436
CTG,2022-03-28,19760.0,19980.0,19520.0,19520.0,6380700,False,19879.0,20926.6,36.180303141580865,-3.1746031746031744,6327705.0,1,1,2.0491803278688523,3.278688524590164,-2.5102459016393444,-13.063524590163937
FPT,2023-03-20,49180.0,49310.0,48250.0,48250.0,771192,False,49652.5,50222.2,38.31848935619118,-3.5964035964035967,743736.5,1,1,0.5181347150259068,1.927461139896373,4.248704663212435,2.5906735751295336
FPT,2026-03-20,76500.0,76500.0,73600.0,74600.0,21423700,False,83255.0,93596.0,28.30008988703092,-6.045340050377835,18034165.0,1,1,,,,
GAS,2021-05-27,53110.0,53310.0,52010.0,52070.0,687500,False,54129.5,,35.40042223812453,-2.3260176327143167,715755.0,1,1,4.493950451315537,10.236220472440944,7.489917418859228,19.608219704244288
GAS,2022-10-07,73640.0,73640.0,70270.0,70270.0,334392,False,75289.0,76904.2,35.96490641047825,-3.766091481785816,405036.75,1,1,4.8954034438594,7.641952469047958,5.094634979365305,8.823110858118685
GAS,2024-08-05,66810.0,67240.0,65440.0,65530.0,2103391,False,66702.0,67275.2,41.35345100760437,-4.251899473991816,1153415.75,1,1,6.79078284755074,7.843735693575462,10.453227529375859,9.674958034488021
GAS,2024-10-03,69090.0,69090.0,68240.0,68240.0,794441,False,69707.0,69645.8,37.94002181279163,-0.9579100145137853,1137879.7,1,1,0.14654161781946073,1.1137162954279016,-1.3774912075029309,-2.7549824150058617
GAS,2025-02-13,63160.0,63160.0,62690.0,62780.0,652055,False,63160.5,63899.0,41.35870226098669,-0.8997632202052075,496891.4,1,1,1.959222682382936,3.153870659445695,1.959222682382936,2.405224593819699
GVR,2022-10-25,13240.0,13910.0,12570.0,12760.0,2838679,False,16312.0,20340.4,20.613821433955025,-17.94212218649518,1536301.3,1,1,9.012539184952978,9.012539184952978,-1.8808777429467085,-5.2507836990595615
GVR,2022-11-15,10080.0,10410.0,9600.0,9600.0,2907428,False,13041.0,17095.6,20.782259132174634,-19.327731092436974,1579209.9,1,1,21.458333333333332,25.937500000000004,41.458333333333336,49.895833333333336
GVR,2023-02-27,13670.0,13720.0,13390.0,13390.0,1276041,False,14305.0,14295.4,41.04059480166761,-4.083094555873923,1865234.65,1,1,2.0911127707244215,1.7923823749066468,7.169529499626587,6.796116504854369
GVR,2024-08-05,30970.0,31550.0,29400.0,29400.0,4196393,False,33621.5,33863.2,35.706686708251695,-8.8089330024814,4391127.0,1,1,5.986394557823129,10.306122448979592,15.4421768707483,15.306122448979592
